"2
",,,,перечень сигналов ивановская тэц-2,,2135,,1044,508,580,3,965,75,KKS параметра,Питание датчика,KKS механизма,min,max,Ед.изм,"Участие
в задачах",Примечание
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG11AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG11AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG11AA001YB03,,,,,,ДУ,н.з.контакт
,,,Затвор дисковый К-26 на входе насосной группы №2,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG12AA001XB51,,F0NDG12AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG12AA001XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG12AA001XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG12AA001XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG12AA001XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG12AA001XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG12AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG12AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG12AA001YB03,,,,,,ДУ,н.з.контакт
,,,Затвор дисковый К-37 на выходе насосной группы №1,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG11AA002XB51,,F0NDG11AA002,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG11AA002XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG11AA002XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG11AA002XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG11AA002XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG11AA002XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG11AA002YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG11AA002YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG11AA002YB03,,,,,,ДУ,н.з.контакт
,,,Затвор дисковый К-36 на выходе насосной группы №2,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG12AA002XB51,,F0NDG12AA002,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG12AA002XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG12AA002XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG12AA002XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG12AA002XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG12AA002XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG12AA002YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG12AA002YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG12AA002YB03,,,,,,ДУ,н.з.контакт
,АСУ ТП ВК,Котловой насос №1,,Давление на всасе котлового насоса №1,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CP001," =24В, 0,5ВА",,-1,10,кгс/см²,,
,,,,Давление на напоре котлового насоса №1,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CP002," =24В, 0,5ВА",,0,16,кгс/см²,,
,,,,"Датчик ""сухого хода"" на напоре котлового насоса №1 (К4.1)",дискретный,входящий,?,1,,,,,0,F0NDG01CP151XG02,,F0NDG01CP151,,,,ФГУ,замыкается при понижении
,,,Котловой насос №1,Температура подшипника №1,аналоговый,входящий,R,,,1,,,0,F0NDG01CT101,-,,0,150,°C,,
,,,,Температура подшипника №2,аналоговый,входящий,R,,,1,,,0,F0NDG01CT102,-,,0,150,°C,,
,,,,Температура подшипника №3,аналоговый,входящий,R,,,1,,,0,F0NDG01CT103,-,,0,150,°C,,
,,,,Температура подшипника №4,аналоговый,входящий,R,,,1,,,0,F0NDG01CT104,-,,0,150,°C,,
,,,,Температура обмоток электродвигателя фаза U,аналоговый,входящий,R,,,1,,,0,F0NDG01CT105,-,,0,150,°C,,Требует уточнения при поставке оборудования (класс изоляции)
,,,,Температура обмоток электродвигателя фаза V,аналоговый,входящий,R,,,1,,,0,F0NDG01CT106,-,,0,150,°C,,Требует уточнения при поставке оборудования (класс изоляции)
,,,,Температура обмоток электродвигателя фаза W,аналоговый,входящий,R,,,1,,,0,F0NDG01CT107,-,,0,150,°C,,Требует уточнения при поставке оборудования (класс изоляции)
,,,,"Вибрация подшипника №1, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CY001,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №1, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CY002,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №1, осевая составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CY003,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №2, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CY004,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №2, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CY005,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №2, осевая составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CY006,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №3, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CY007,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №3, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CY008,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №3, осевая составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CY009,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №4, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CY010,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №4, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CY011,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №4, осевая составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CY012,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,Ток электродвигателя,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG01CE012,-,,0,800,А,,
,,,Затвор дисковый К-34 на всасе котлового насоса №1,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG01AA001XB51,,F0NDG01AA001,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG01AA001XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG01AA001XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG01AA001XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG01AA001XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG01AA001XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG01AA001YB01,,,,,,ДУ,
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG01AA001YB02,,,,,,ДУ,
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG01AA001YB03,,,,,,ДУ,н.з.контакт
,,,Затвор дисковый К-35 на напоре котлового насоса №1,Не открыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG01AA002XB51,,F0NDG01AA002,,,,ДУ,
,,,,Не закрыто,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG01AA002XB52,,,,,,ДУ,
,,,,Превышение момента на открытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG01AA002XB05,,,,,,ДУ,
,,,,Превышение момента на закрытие,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG01AA002XB06,,,,,,ДУ,
,,,,Дистанционный режим работы,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG01AA002XL01,,,,,,ДУ,
,,,,Автоматический выключатель отключен,дискретный,входящий,"220В, 50Гц",1,,,,,0,F0NDG01AA002XM01,,,,,,ПС,
,,,,Открыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG01AA002YB01,,,,,,"ДУ,ФГУ",
,,,,Закрыть,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG01AA002YB02,,,,,,"ДУ,ФГУ",
,,,,Стоп,дискретный,исходящий,"220В, 50Гц",,1,,,,0,F0NDG01AA002YB03,,,,,,"ДУ,ФГУ",н.з.контакт
,АСУ ТП ВК,Котловой насос №2,,Давление на всасе котлового насоса №2,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG02CP001,"=24В, 0,5ВА",,-1,10,кгс/см²,,
,,,,Давление на напоре котлового насоса №2,аналоговый,входящий,4-20мА,,,1,,,0,F0NDG02CP002,"=24В, 0,5ВА",,0,16,кгс/см²,,
,,,,"Датчик ""сухого хода"" на напоре котлового насоса №2 (К4.2)",дискретный,входящий,?,1,,,,,0,F0NDG02CP151XG02,,F0NDG02CP151,,,,ФГУ,замыкается при понижении
,,,Котловой насос №2,Температура подшипника №1,аналоговый,входящий,R,,,1,,,0,F0NDG02CT101,-,,0,150,°C,,
,,,,Температура подшипника №2,аналоговый,входящий,R,,,1,,,0,F0NDG02CT102,-,,0,150,°C,,
,,,,Температура подшипника №3,аналоговый,входящий,R,,,1,,,0,F0NDG02CT103,-,,0,150,°C,,
,,,,Температура подшипника №4,аналоговый,входящий,R,,,1,,,0,F0NDG02CT104,-,,0,150,°C,,
,,,,Температура обмоток электродвигателя фаза U,аналоговый,входящий,R,,,1,,,0,F0NDG02CT105,-,,0,150,°C,,Требует уточнения при поставке оборудования (класс изоляции)
,,,,Температура обмоток электродвигателя фаза V,аналоговый,входящий,R,,,1,,,0,F0NDG02CT106,-,,0,150,°C,,Требует уточнения при поставке оборудования (класс изоляции)
,,,,Температура обмоток электродвигателя фаза W,аналоговый,входящий,R,,,1,,,0,F0NDG02CT107,-,,0,150,°C,,Требует уточнения при поставке оборудования (класс изоляции)
,,,,"Вибрация подшипника №1, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG02CY001,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №1, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG02CY002,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №1, осевая составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG02CY003,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №2, вертикальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG02CY004,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
,,,,"Вибрация подшипника №2, горизонтальная составляющая",аналоговый,входящий,4-20мА,,,1,,,0,F0NDG02CY005,"=24В, 0,5ВА",,0,11.9,мм/с,,Максимальный уровень останова
